"Plot Title: IAH-5/20/21"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20895964, SEN S/N: 20895964)","Intensity, lum/ft² (LGR S/N: 20895964, SEN S/N: 20895964)","Coupler Attached (LGR S/N: 20895964)","Host Connected (LGR S/N: 20895964)","Stopped (LGR S/N: 20895964)","End Of File (LGR S/N: 20895964)"
105,05/21/21 02:00:00 PM,9.373,768.0,,,,
106,05/21/21 02:15:00 PM,9.373,960.0,,,,
107,05/21/21 02:30:00 PM,9.373,864.0,,,,
108,05/21/21 02:45:00 PM,9.373,864.0,,,,
109,05/21/21 03:00:00 PM,9.373,864.0,,,,
110,05/21/21 03:15:00 PM,9.373,800.0,,,,
111,05/21/21 03:30:00 PM,9.373,608.0,,,,
112,05/21/21 03:45:00 PM,9.373,576.0,,,,
113,05/21/21 04:00:00 PM,9.373,480.0,,,,
114,05/21/21 04:15:00 PM,9.275,480.0,,,,
115,05/21/21 04:30:00 PM,9.275,416.0,,,,
116,05/21/21 04:45:00 PM,9.176,336.0,,,,
117,05/21/21 05:00:00 PM,9.176,272.0,,,,
118,05/21/21 05:15:00 PM,9.077,232.0,,,,
119,05/21/21 05:30:00 PM,9.077,200.0,,,,
120,05/21/21 05:45:00 PM,8.978,144.0,,,,
121,05/21/21 06:00:00 PM,8.978,144.0,,,,
122,05/21/21 06:15:00 PM,8.779,96.0,,,,
123,05/21/21 06:30:00 PM,8.581,60.0,,,,
124,05/21/21 06:45:00 PM,8.481,39.0,,,,
125,05/21/21 07:00:00 PM,8.382,36.0,,,,
126,05/21/21 07:15:00 PM,8.382,31.0,,,,
127,05/21/21 07:30:00 PM,8.382,16.0,,,,
128,05/21/21 07:45:00 PM,8.382,6.0,,,,
129,05/21/21 08:00:00 PM,8.581,1.0,,,,
130,05/21/21 08:15:00 PM,8.581,0.0,,,,
131,05/21/21 08:30:00 PM,8.581,0.0,,,,
132,05/21/21 08:45:00 PM,8.581,0.0,,,,
133,05/21/21 09:00:00 PM,8.581,0.0,,,,
134,05/21/21 09:15:00 PM,8.581,0.0,,,,
135,05/21/21 09:30:00 PM,8.581,0.0,,,,
136,05/21/21 09:45:00 PM,8.680,0.0,,,,
137,05/21/21 10:00:00 PM,8.680,0.0,,,,
138,05/21/21 10:15:00 PM,8.680,0.0,,,,
139,05/21/21 10:30:00 PM,8.680,0.0,,,,
140,05/21/21 10:45:00 PM,8.680,0.0,,,,
141,05/21/21 11:00:00 PM,8.680,0.0,,,,
142,05/21/21 11:15:00 PM,8.680,0.0,,,,
143,05/21/21 11:30:00 PM,8.779,0.0,,,,
144,05/21/21 11:45:00 PM,8.779,0.0,,,,
145,05/22/21 12:00:00 AM,8.879,0.0,,,,
146,05/22/21 12:15:00 AM,8.879,0.0,,,,
147,05/22/21 12:30:00 AM,8.879,0.0,,,,
148,05/22/21 12:45:00 AM,8.779,0.0,,,,
149,05/22/21 01:00:00 AM,8.779,0.0,,,,
150,05/22/21 01:15:00 AM,8.779,0.0,,,,
151,05/22/21 01:30:00 AM,8.779,0.0,,,,
152,05/22/21 01:45:00 AM,8.779,0.0,,,,
153,05/22/21 02:00:00 AM,8.779,0.0,,,,
154,05/22/21 02:15:00 AM,8.779,0.0,,,,
155,05/22/21 02:30:00 AM,8.779,0.0,,,,
156,05/22/21 02:45:00 AM,8.779,0.0,,,,
157,05/22/21 03:00:00 AM,8.879,0.0,,,,
158,05/22/21 03:15:00 AM,8.879,0.0,,,,
159,05/22/21 03:30:00 AM,8.879,0.0,,,,
160,05/22/21 03:45:00 AM,8.879,0.0,,,,
161,05/22/21 04:00:00 AM,8.879,0.0,,,,
162,05/22/21 04:15:00 AM,8.978,0.0,,,,
163,05/22/21 04:30:00 AM,8.978,0.0,,,,
164,05/22/21 04:45:00 AM,8.978,0.0,,,,
165,05/22/21 05:00:00 AM,8.978,0.0,,,,
166,05/22/21 05:15:00 AM,8.978,1.0,,,,
167,05/22/21 05:30:00 AM,8.978,4.0,,,,
168,05/22/21 05:45:00 AM,8.978,9.0,,,,
169,05/22/21 06:00:00 AM,9.077,6.0,,,,
170,05/22/21 06:15:00 AM,9.077,4.0,,,,
171,05/22/21 06:30:00 AM,9.077,18.0,,,,
172,05/22/21 06:45:00 AM,9.077,15.0,,,,
173,05/22/21 07:00:00 AM,9.077,22.0,,,,
174,05/22/21 07:15:00 AM,9.077,20.0,,,,
175,05/22/21 07:30:00 AM,9.077,32.0,,,,
176,05/22/21 07:45:00 AM,8.879,24.0,,,,
177,05/22/21 08:00:00 AM,8.779,22.0,,,,
178,05/22/21 08:15:00 AM,8.779,28.0,,,,
179,05/22/21 08:30:00 AM,8.779,25.0,,,,
180,05/22/21 08:45:00 AM,8.779,9.0,,,,
181,05/22/21 09:00:00 AM,8.879,8.0,,,,
182,05/22/21 09:15:00 AM,8.978,4.0,,,,
183,05/22/21 09:30:00 AM,8.978,9.0,,,,
